,fact,value
134,HSBA-BS_COMM_LOAN,591668
135,HSBA-BS_TOT_LOAN,1052477
136,HSBA-BS_CUSTOMER_DEPOSITS,1642780
137,HSBA-CUR_MKT_CAP,88119.001367256
138,HSBA-EFF_RATIO,68.278173273315
139,HSBA-NET_INCOME,5229
140,HSBA-NET_REV,53606
141,HSBA-PX_TO_TANG_BV_PER_SH,0.749042376644256
142,HSBA-BS_TIER_1_CAP_RATIO_FULLY_LOADED,18.5
143,HSBA-BS_TOT_ASSET,2984164
144,STAN-BS_CONS_LOAN,118741
145,STAN-BS_COMM_LOAN,138590
146,STAN-BS_TOT_LOAN,288312
147,STAN-BS_CUSTOMER_DEPOSITS,439339
148,STAN-CUR_MKT_CAP,13123.2056042
149,STAN-EFF_RATIO,70.3538023586824
150,STAN-NET_INCOME,724
151,STAN-NET_REV,15459
152,STAN-PX_TO_TANG_BV_PER_SH,0.439644254790681
153,STAN-BS_TIER_1_CAP_RATIO_FULLY_LOADED,16.1
154,STAN-BS_TOT_ASSET,789050
155,LLOY-BS_CONS_LOAN,335115
156,LLOY-BS_COMM_LOAN,33542
157,LLOY-BS_TOT_LOAN,446003
158,LLOY-BS_CUSTOMER_DEPOSITS,450651
159,LLOY-CUR_MKT_CAP,33159.4379860904
160,LLOY-EFF_RATIO,64.3701697602219
161,LLOY-NET_INCOME,1318
162,LLOY-NET_REV,16287
163,LLOY-PX_TO_TANG_BV_PER_SH,NA
164,LLOY-BS_TIER_1_CAP_RATIO_FULLY_LOADED,19.1
165,LLOY-BS_TOT_ASSET,871269
166,BARC-BS_CONS_LOAN,200959
167,BARC-BS_COMM_LOAN,101291
168,BARC-BS_TOT_LOAN,350967
169,BARC-BS_CUSTOMER_DEPOSITS,481036
170,BARC-CUR_MKT_CAP,31360.5713034592
171,BARC-EFF_RATIO,64.4996783975007
172,BARC-NET_INCOME,2383
173,BARC-NET_REV,23836
174,BARC-PX_TO_TANG_BV_PER_SH,0.638852285314798
175,BARC-BS_TIER_1_CAP_RATIO_FULLY_LOADED,18
176,BARC-BS_TOT_ASSET,1349514
